DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240504105,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1255,05,Harbor,0557,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,83,M,H,104,DRIVEWAY,,,IC,Invest Cont,740,,,,800 W  2ND                          ST,,33.7424,-118.2946
241204048,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2345,12,77th Street,1265,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0400 0416 0329,20,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1500 W  85TH                         ST,,33.9609,-118.3025
241704311,01/04/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1253,17,Devonshire,1729,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,343,,,,11100    BALBOA                       BL,,34.2757,-118.5144
241904156,01/03/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0100,19,Mission,1999,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,31,F,W,101,STREET,,,IC,Invest Cont,331,,,,8000    CROSNOE                      AV,,34.2161,-118.4257
241304077,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2350,13,Newton,1327,1,310,BURGLARY,0329 0344 0358 1607 1822,54,M,A,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1500 E  23RD                         ST,,34.0181,-118.2488
241004029,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2134,10,West Valley,1061,1,310,BURGLARY,0344 0358 0329 1822 0209 0206 0352 1309,27,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,5100    CALVIN                       AV,,34.1646,-118.5558
241704027,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1145,17,Devonshire,1791,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0421 0334 1817 1300,24,M,H,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,,,,8500    DELCO                        AV,,34.2246,-118.5785
241205144,01/16/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1000,12,77th Street,1273,1,310,BURGLARY,0344 1822 0329 1202,77,F,W,107,VACANT LOT,,,IC,Invest Cont,310,,,,1800 W  MANCHESTER                   AV,,33.96,-118.309
240404041,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2130,04,Hollenbeck,0497,1,330,BURGLARY FROM VEHICLE,1300 1307 1302 0344,28,F,X,213,WAREHOUSE,,,IC,Invest Cont,330,,,,E  PICO                         BL,S  SOTO                         ST,34.0205,-118.2202
240204300,01/06/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0400,02,Rampart,0217,1,210,ROBBERY,1822 0334 1305 0344,19,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,910,,,400 N  ALVARADO                     ST,,34.0703,-118.268
241804020,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0155,18,Southeast,1802,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0216 0302 0334 1300 0432,43,F,H,108,PARKING LOT,106,UNKNOWN FIREARM,IC,Invest Cont,230,,,,8600 S  MAIN                         ST,,33.9601,-118.2739
241904025,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1100,19,Mission,1963,1,320,"BURGLARY, ATTEMPTED",1601 1822 2003 0421,25,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,320,,,,9500    VAN NUYS                     BL,,34.2427,-118.4502
241404147,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0255,14,Pacific,1496,2,624,BATTERY - SIMPLE ASSAULT,0444,34,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,6100 W  CENTURY                      BL,,33.9456,-118.3911
240104428,01/06/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1200,01,Central,0161,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,900 W  7TH                          ST,,34.0494,-118.2599
240604364,01/03/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2000,06,Hollywood,0646,2,624,BATTERY - SIMPLE ASSAULT,1822 0400 0416,25,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6700    HOLLYWOOD                    BL,,34.1016,-118.3361
241504054,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0838,15,N Hollywood,1583,2,354,THEFT OF IDENTITY,1822 1501,34,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12000    HOFFMAN                      ST,,34.1448,-118.3926
240104141,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0130,01,Central,0111,1,330,BURGLARY FROM VEHICLE,0344 1307,34,M,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,600 N  BROADWAY,,34.0585,-118.2403
241904080,01/03/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1600,19,Mission,1958,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0385 1822,41,M,H,101,STREET,,,IC,Invest Cont,331,,,,10100    WOODALE                      AV,,34.2544,-118.4427
241704157,01/03/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1500,17,Devonshire,1752,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,31,F,W,101,STREET,,,IC,Invest Cont,745,,,,21100    LEMARSH                      ST,,34.2554,-118.593
240604019,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0100,06,Hollywood,0646,2,624,BATTERY - SIMPLE ASSAULT,0913 0400 0416,35,M,O,735,NIGHT CLUB (OPEN EVENINGS ONLY),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6400    SELMA                        AV,,34.0998,-118.3295
241204039,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1925,12,77th Street,1267,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,500 W  83RD                         ST,,33.9632,-118.2827
240304653,01/13/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1400,03,Southwest,0394,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 0352,29,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,4300    ARLINGTON                    AV,,34.0055,-118.3182
241104082,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2325,11,Northeast,1137,2,624,BATTERY - SIMPLE ASSAULT,0416 0602,41,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,5000    ALDAMA                       ST,,34.1118,-118.2073
241704012,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0045,17,Devonshire,1798,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1419 1814 1402 0416 0302 0913,39,F,H,101,STREET,102,HAND GUN,AA,Adult Arrest,236,998,,,15800    RAYEN                        ST,,34.2319,-118.4763
240204030,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1830,02,Rampart,0246,2,860,BATTERY WITH SEXUAL CONTACT,1822 0529,30,F,H,124,BUS STOP,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,860,,,,ALVARADO                     ST,6TH                          ST,34.0595,-118.2749
241304010,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0140,13,Newton,1347,2,901,VIOLATION OF RESTRAINING ORDER,2038 0913 0329,24,F,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,901,,,,4100    COMPTON                      AV,,34.0086,-118.2474
241204057,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1130,12,77th Street,1232,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1259 1251 0408 0553 0416 0913,17,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,235,,,,5900    CRENSHAW                     BL,,33.9872,-118.3307
240304035,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1620,03,Southwest,0363,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,COLISEUM,CRENSHAW,34.0164,-118.3351
240204098,01/03/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0600,02,Rampart,0281,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1100 S  HOOVER                       ST,,34.0512,-118.2842
241204054,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0100,12,77th Street,1267,1,520,VEHICLE - ATTEMPT STOLEN,0329 1402,28,M,H,101,STREET,219,SCREWDRIVER,IC,Invest Cont,520,998,,,700 W  84TH                         ST,,33.9621,-118.286
241304016,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0050,13,Newton,1309,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0906 0430,24,F,B,101,STREET,106,UNKNOWN FIREARM,AA,Adult Arrest,230,,,,2300    PORTER                       ST,,34.0266,-118.2322
241604278,01/09/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1255,16,Foothill,1685,2,901,VIOLATION OF RESTRAINING ORDER,2038,19,F,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,901,,,,7700    FARMDALE                     AV,,34.2121,-118.3812
241204095,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2100,12,77th Street,1265,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0913 2004 1309 0421 0319 0302 0432,46,F,B,101,STREET,101,REVOLVER,AO,Adult Other,236,,,,VERMONT                      AV,83RD                         ST,33.9637,-118.2917
241304094,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0200,13,Newton,1313,1,480,BIKE - STOLEN,0344 1822,28,M,H,124,BUS STOP,,,IC,Invest Cont,480,,,,SAN PEDRO,WASHINGTON                   BL,34.0276,-118.2574
240605053,01/09/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0604,06,Hollywood,0676,2,354,THEFT OF IDENTITY,0922 0930 0935 1822,75,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5800    WILLOUGHBY                   AV,,34.0871,-118.3222
240604062,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2045,06,Hollywood,0636,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 2000 0416,64,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,CAHUENGA,FRANKLIN,34.1052,-118.3304
240304084,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2000,03,Southwest,0377,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1200    EXPOSITION                   BL,,34.0182,-118.2974
241404053,01/03/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0801,14,Pacific,1469,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5700 W  CENTINELA                    AV,,33.9764,-118.381
240104053,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1030,01,Central,0162,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0344 1822,0,X,X,404,DEPARTMENT STORE,,,AA,Adult Arrest,343,,,,700 W  7TH                          ST,,34.048,-118.2577
241904207,01/05/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2030,19,Mission,1974,1,330,BURGLARY FROM VEHICLE,1609 0344,53,F,H,101,STREET,,,IC,Invest Cont,330,,,,NORDHOFF                     ST,WILLIS                       AV,34.2355,-118.4553
240504079,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1830,05,Harbor,0563,2,354,THEFT OF IDENTITY,0377,24,F,H,402,MARKET,,,IC,Invest Cont,354,,,,1200 S  GAFFEY                       ST,,33.7331,-118.2924
240604464,01/03/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2130,06,Hollywood,0657,2,888,TRESPASSING,2002 1822 1501 0444,37,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888,,,,5500    SIERRA VISTA                 AV,,34.0895,-118.3114
240504498,01/14/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1930,05,Harbor,0531,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,25900    FRAMPTON                     AV,,33.7866,-118.3044
241604017,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0015,16,Foothill,1689,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0325,0,X,X,202,LIQUOR STORE,,,IC,Invest Cont,440,,,,8200    SAN FERNANDO                 RD,,34.2194,-118.3688
241204044,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0001,12,77th Street,1215,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0913 0416,25,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,1100 W  53RD                         ST,,33.9941,-118.2939
241104086,01/03/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2345,11,Northeast,1147,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0417,37,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,3000    ISABEL                       DR,,34.1019,-118.2341
241904024,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1115,19,Mission,1984,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1813 0408,50,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,8600    WILLIS                       AV,,34.2266,-118.4553
241400505,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2235,14,Pacific,1494,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1402 0329,0,X,X,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,745,998,,,300    WORLD WY,,33.9455,-118.4001
240100501,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1815,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0401 1402 0400 1822,32,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,998,,,800 W  7TH                          ST,,34.0487,-118.2588
240804094,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1830,08,West LA,0881,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0358 0385 1822,25,X,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,331,,,,11600    LA GRANGE                    AV,,34.0382,-118.4484
242104032,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0015,21,Topanga,2146,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 0417,24,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,VASSAR,HART                         ST,34.1974,-118.6044
240105903,01/27/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0001,01,Central,0164,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0417 0329,41,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740,,,,600 S  SPRING                       ST,,34.046,-118.251
241404130,01/04/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1830,14,Pacific,1441,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,00    WASHINGTON                   BL,,33.9793,-118.4665
242004032,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0820,20,Olympic,2025,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1814 0329 2000 0913,44,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,400 S  MARIPOSA                     AV,,34.0672,-118.2992
241404036,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1300,14,Pacific,1434,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3700    COLONIAL                     AV,,34.006,-118.4366
242004042,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0830,20,Olympic,2033,2,900,VIOLATION OF COURT ORDER,1814 0421 2038 2000,43,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,900,,,,WILSHIRE,OXFORD,34.0617,-118.3078
241804057,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1200,18,Southeast,1835,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1300 E  107TH                        ST,,33.941,-118.2516
240106034,01/29/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0001,01,Central,0111,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,420,,,,700 N  HILL                         PL,,34.062,-118.2425
240104094,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1140,01,Central,0165,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344,22,F,B,101,STREET,,,IC,Invest Cont,341,,,,600 S  LOS ANGELES                  ST,,34.0446,-118.249
241204038,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0300,12,77th Street,1208,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1309 0344 0385,0,X,X,101,STREET,,,IC,Invest Cont,331,,,,49TH                         ST,FIGUEROA                     ST,33.9987,-118.2827
241404501,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2100,14,Pacific,1457,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0377,34,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,12300    HAVELOCK                     AV,,33.9884,-118.4162
240204007,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2000,02,Rampart,0218,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,GLENDALE,BELLEVUE,34.0706,-118.2615
242004031,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0200,20,Olympic,2026,1,310,BURGLARY,1822 0344 0358 1608,0,X,X,222,LAUNDROMAT,,,IC,Invest Cont,310,,,,400 S  VERMONT                      AV,,34.0672,-118.2941
241904136,01/03/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1055,19,Mission,1962,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,301,GAS STATION,,,AO,Adult Other,740,,,,9100 N  SEPULVEDA                    BL,,34.2355,-118.4675
241904049,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0420,19,Mission,1952,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,15400    MAYALL                       ST,,34.2536,-118.4675
241304008,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0053,13,Newton,1309,1,110,CRIMINAL HOMICIDE,0430 0906 1822 1270,24,M,B,101,STREET,106,UNKNOWN FIREARM,AA,Adult Arrest,110,,,,2300    PORTER                       ST,,34.0266,-118.2322
242104041,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1210,21,Topanga,2126,2,624,BATTERY - SIMPLE ASSAULT,0417,43,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,21200    ROSCOE                       BL,,34.2199,-118.594
240304074,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1500,03,Southwest,0363,2,901,VIOLATION OF RESTRAINING ORDER,2000 1814 2038 1309,42,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,4100    BUCKINGHAM                   RD,,34.0121,-118.3423
240904034,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,2000,09,Van Nuys,0974,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4600    WILLIS                       AV,,34.1545,-118.4552
241804476,01/10/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0145,18,Southeast,1835,1,761,BRANDISH WEAPON,0334 0913,31,F,B,104,DRIVEWAY,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,761,,,,10500    PACE                         AV,,33.941,-118.253
241604015,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0830,16,Foothill,1602,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 0329 1300,53,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,740,,,,11500    BORDEN                       AV,,34.279,-118.4116
241604010,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0815,16,Foothill,1617,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0913,41,M,W,504,OTHER RESIDENCE,,,AO,Adult Other,956,,,,10600    RUSSETT                      AV,,34.2623,-118.3191
241904040,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0800,19,Mission,1954,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,31,M,W,101,STREET,,,IC,Invest Cont,740,,,,15000    MAYALL                       ST,,34.2536,-118.4587
240204195,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0626,02,Rampart,0265,2,354,THEFT OF IDENTITY,0100 1822 0930,46,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,700 S  WESTLAKE                     AV,,34.0559,-118.2756
240604015,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0100,06,Hollywood,0663,2,624,BATTERY - SIMPLE ASSAULT,0913 0400 0416 1300,40,F,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1100 N  HIGHLAND                     AV,,34.0907,-118.3386
240705194,01/26/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1749,07,Wilshire,0736,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,400 S  LA BREA                      AV,,34.0669,-118.3456
241404182,01/02/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0100,14,Pacific,1444,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1609,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,3000    WASHINGTON                   BL,,33.9891,-118.4506
242104039,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1555,21,Topanga,2189,2,850,INDECENT EXPOSURE,0529,25,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,850,,,,20000    VENTURA                      BL,,34.1719,-118.5682
242104340,01/08/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1600,21,Topanga,2146,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606,23,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,331,,,,7000    ALABAMA                      AV,,34.1974,-118.599
241204012,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,0001,12,77th Street,1243,1,251,SHOTS FIRED AT INHABITED DWELLING,1402 1100 1822 1407,0,X,X,501,SINGLE FAMILY DWELLING,107,OTHER FIREARM,IC,Invest Cont,251,,,,2000 W  67TH                         ST,,33.9785,-118.3134
