DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241907237,03/28/2024 12:00:00 AM,03/27/2024 12:00:00 AM,1730,19,Mission,1967,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,59,M,H,101,STREET,,,IC,Invest Cont,331,,,,13900    OSBORNE                      ST,,34.2416,-118.4371
241708567,03/31/2024 12:00:00 AM,03/10/2024 12:00:00 AM,1500,17,Devonshire,1725,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,46,M,I,102,SIDEWALK,,,IC,Invest Cont,745,,,,10700    BAILE                        AV,,34.2646,-118.5626
242107505,03/24/2024 12:00:00 AM,03/24/2024 12:00:00 AM,0200,21,Topanga,2145,1,330,BURGLARY FROM VEHICLE,0344 0321 1202,63,F,H,104,DRIVEWAY,,,IC,Invest Cont,330,,,,22200    CRISWELL                     ST,,34.1907,-118.6112
240507207,03/25/2024 12:00:00 AM,03/25/2024 12:00:00 AM,1400,05,Harbor,0585,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,22ND                         ST,MEYLER,33.7243,-118.2968
240307749,03/14/2024 12:00:00 AM,03/13/2024 12:00:00 AM,1800,03,Southwest,0398,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,500 W  43RD                         PL,,34.0046,-118.2827
240506969,03/19/2024 12:00:00 AM,03/06/2024 12:00:00 AM,1000,05,Harbor,0505,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,1000    FRANCISCO                    ST,,33.8499,-118.2952
240308379,03/27/2024 12:00:00 AM,03/26/2024 12:00:00 AM,2300,03,Southwest,0377,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1200    LEIGHTON                     AV,,34.0132,-118.2974
241700735,03/25/2024 12:00:00 AM,03/25/2024 12:00:00 AM,1414,17,Devonshire,1753,1,761,BRANDISH WEAPON,0334 1822,29,M,W,602,BANK,207,OTHER KNIFE,AO,Adult Other,761,,,,20500    DEVONSHIRE                   ST,,34.2573,-118.5798
240706667,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1800,07,Wilshire,0717,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,24,F,W,406,OTHER STORE,,,IC,Invest Cont,745,,,,300 N  SYCAMORE                     AV,,34.0762,-118.3429
242107187,03/22/2024 12:00:00 AM,03/22/2024 12:00:00 AM,1815,21,Topanga,2145,2,624,BATTERY - SIMPLE ASSAULT,0448 2021 0361 0603,58,M,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,22000    GILMORE                      ST,,34.1876,-118.607
240507355,03/29/2024 12:00:00 AM,03/27/2024 12:00:00 AM,1900,05,Harbor,0587,1,310,BURGLARY,0344 0358,45,M,A,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,600 W  34TH                         ST,,33.7134,-118.2898
241706914,03/11/2024 12:00:00 AM,03/11/2024 12:00:00 AM,1200,17,Devonshire,1783,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,,9100    TAMPA                        AV,,34.2355,-118.5536
240307874,03/17/2024 12:00:00 AM,03/15/2024 12:00:00 AM,1900,03,Southwest,0331,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4900    FERNDALE                     ST,,34.0294,-118.3496
240506315,03/02/2024 12:00:00 AM,03/01/2024 12:00:00 AM,1930,05,Harbor,0529,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 E  I                            ST,,33.7812,-118.2625
241307310,03/10/2024 12:00:00 AM,03/09/2024 12:00:00 AM,2350,13,Newton,1307,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,800    CROCKER                      ST,,34.0377,-118.2482
240109410,03/22/2024 12:00:00 AM,03/13/2024 12:00:00 AM,1030,01,Central,0156,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,52,M,W,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,,6TH                          ST,SAN JULIAN,34.0423,-118.2453
241707574,03/26/2024 12:00:00 AM,03/25/2024 12:00:00 AM,2000,17,Devonshire,1756,1,520,VEHICLE - ATTEMPT STOLEN,1202 1612 0329 1609,76,F,O,101,STREET,,,IC,Invest Cont,520,,,,17500    DEVONSHIRE                   ST,,34.2576,-118.5155
240506793,03/13/2024 12:00:00 AM,03/13/2024 12:00:00 AM,2200,05,Harbor,0529,1,310,BURGLARY,1822 0344,57,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,800    WATSON                       AV,,33.7808,-118.2475
241707841,03/27/2024 12:00:00 AM,03/27/2024 12:00:00 AM,0715,17,Devonshire,1764,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,65,M,O,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,745,,,,19300    HALSTED                      ST,,34.2437,-118.5536
241906920,03/18/2024 12:00:00 AM,03/18/2024 12:00:00 AM,0530,19,Mission,1958,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1822,41,F,H,403,DRUG STORE,,,IC,Invest Cont,343,,,,9700    WOODMAN                      AV,,34.2463,-118.4477
240607797,03/25/2024 12:00:00 AM,03/25/2024 12:00:00 AM,1422,06,Hollywood,0629,2,625,OTHER ASSAULT,1501 0447 0913 2021 0361,50,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,625,,,,1900 N  VAN NESS                     AV,,34.1053,-118.3159
241507368,03/10/2024 12:00:00 AM,03/10/2024 12:00:00 AM,0420,15,N Hollywood,1555,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ELMER                        AV,CAMARILLO                    ST,34.1577,-118.3763
240109492,03/25/2024 12:00:00 AM,03/25/2024 12:00:00 AM,1310,01,Central,0128,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1ST                          ST,SAN PEDRO                    ST,34.0504,-118.2409
241407147,03/10/2024 12:00:00 AM,03/07/2024 12:00:00 AM,2000,14,Pacific,1496,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,9800    VICKSBURG                    AV,,33.9473,-118.394
