"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"242108414","2024 Apr 25 12:00:00 AM","2024 Apr 25 12:00:00 AM","1600","21","Topanga","2146","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","1606 0344 1402 0302 1822 1227 1420","0","M","W","101","STREET","102","HAND GUN","AO","Adult Other","420","998",,,"21400    SHERMAN                      WY",,"34.201","-118.5977"
"241408080","2024 Apr 01 12:00:00 AM","2024 Apr 01 12:00:00 AM","1920","14","Pacific","1432","1","310","BURGLARY","0344 1402","34","F","O","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"AA","Adult Arrest","310","998",,,"800    VENICE                       BL",,"33.9939","-118.4533"
"240309637","2024 Apr 24 12:00:00 AM","2024 Apr 23 12:00:00 AM","2121","03","Southwest","0331","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0385 1300 1822 0344","24","M","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","331",,,,"2600 S  HARCOURT                     AV",,"34.0325","-118.346"
"240309963","2024 Apr 30 12:00:00 AM","2024 Apr 30 12:00:00 AM","1945","03","Southwest","0393","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","0913 0400 0416 1814 2000 1309","27","F","B","101","STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626",,,,"8TH                          AV","50TH                         ST","34.0074","-118.329"
"240908543","2024 Apr 28 12:00:00 AM","2024 Apr 28 12:00:00 AM","2230","09","Van Nuys","0933","2","888","TRESPASSING","2004","0","X","X","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","888",,,,"14600    CALVERT                      ST",,"34.1817","-118.4509"
"240309309","2024 Apr 17 12:00:00 AM","2024 Apr 17 12:00:00 AM","0700","03","Southwest","0318","1","310","BURGLARY","0314 0344 0358 1607 2004 1606 0913","47","F","H","501","SINGLE FAMILY DWELLING",,,"AA","Adult Arrest","310",,,,"2400    ELLENDALE                    PL",,"34.0344","-118.289"
"241908079","2024 Apr 21 12:00:00 AM","2024 Apr 20 12:00:00 AM","2245","19","Mission","1902","2","626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0913 1814 0416","25","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","626",,,,"14300    FOOTHILL                     BL",,"34.3192","-118.4455"
"240508425","2024 Apr 26 12:00:00 AM","2024 Apr 26 12:00:00 AM","1000","05","Harbor","0506","2","624","BATTERY - SIMPLE ASSAULT","0416 0603 0913 1206","44","F","H","101","STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624",,,,"21700 S  WESTERN                      AV",,"33.8315","-118.309"
"241007663","2024 Apr 10 12:00:00 AM","2024 Apr 10 12:00:00 AM","0317","10","West Valley","1025","2","956","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","1822","31","M","O","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","956",,,,"18200    VANOWEN                      ST",,"34.1975","-118.5273"
"241308462","2024 Apr 18 12:00:00 AM","2024 Apr 17 12:00:00 AM","1940","13","Newton","1324","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"1300 E  20TH                         ST",,"34.0233","-118.2516"
"240907785","2024 Apr 09 12:00:00 AM","2024 Apr 08 12:00:00 AM","1720","09","Van Nuys","0914","2","624","BATTERY - SIMPLE ASSAULT","0416 0913","23","M","H","255","AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","624",,,,"7000    VAN NUYS                     BL",,"34.1975","-118.4487"
"240110317","2024 Apr 15 12:00:00 AM","2024 Apr 15 12:00:00 AM","0109","01","Central","0119","2","888","TRESPASSING","0910 2004","0","X","X","834","LA UNION STATION (NOT LINE SPECIFIC)",,,"IC","Invest Cont","888",,,,"00    GATEWAY PLZ",,"34.0547","-118.2335"
"241210696","2024 Apr 08 12:00:00 AM","2024 Apr 08 12:00:00 AM","0545","12","77th Street","1252","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344","46","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","341",,,,"2300 W  FLORENCE                     AV",,"33.9746","-118.3188"
"240309706","2024 Apr 25 12:00:00 AM","2024 Apr 24 12:00:00 AM","2100","03","Southwest","0328","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"28TH","FIGUEROA","34.0264","-118.278"
"240608565","2024 Apr 17 12:00:00 AM","2024 Apr 17 12:00:00 AM","1335","06","Hollywood","0645","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","1501","39","M","W","504","OTHER RESIDENCE",,,"IC","Invest Cont","440",,,,"1700 N  ORANGE                       DR",,"34.1015","-118.3417"
