DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241406608,02/23/2024 12:00:00 AM,02/23/2024 12:00:00 AM,0615,14,Pacific,1458,1,480,BIKE - STOLEN,0344,28,F,W,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,480,,,,5000 S  SLAUSON                      AV,,33.9943,-118.408
241705500,02/04/2024 12:00:00 AM,02/02/2024 12:00:00 AM,2000,17,Devonshire,1745,1,520,VEHICLE - ATTEMPT STOLEN,1202 1609 0329,63,M,O,101,STREET,,,IC,Invest Cont,520,,,,17200    DEVONSHIRE                   ST,,34.2611,-118.5158
240306117,02/10/2024 12:00:00 AM,02/10/2024 12:00:00 AM,1225,03,Southwest,0334,1,761,BRANDISH WEAPON,1822 1309 0334 0400,47,M,H,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761,,,,JEFFERSON                    BL,W  10TH                         AV,34.0256,-118.3282
241405830,02/13/2024 12:00:00 AM,02/09/2024 12:00:00 AM,2030,14,Pacific,1457,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,STONER                       AV,BRADDOCK                     DR,33.9943,-118.4133
241006146,02/29/2024 12:00:00 AM,02/13/2024 12:00:00 AM,1050,10,West Valley,1028,1,330,BURGLARY FROM VEHICLE,1300 0935 0354 1822 0344,30,F,H,101,STREET,,,IC,Invest Cont,330,,,,16500    VICTORY                      BL,,34.1939,-118.4967
241805821,02/08/2024 12:00:00 AM,02/07/2024 12:00:00 AM,1900,18,Southeast,1801,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,87TH                         ST,SAN PEDRO,33.9555,-118.2871
242006360,02/24/2024 12:00:00 AM,02/24/2024 12:00:00 AM,2000,20,Olympic,2055,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1243 1813 2000 2002 0446 0416,22,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,900 S  KENMORE                      AV,,34.0518,-118.2968
241806014,02/12/2024 12:00:00 AM,02/03/2024 12:00:00 AM,2300,18,Southeast,1844,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,600 E  111TH                        PL,,33.9339,-118.2652
240600639,02/11/2024 12:00:00 AM,02/11/2024 12:00:00 AM,2010,06,Hollywood,0625,1,210,ROBBERY,0344 0216 0209 0302 1100 1822 1300 1402 0334 1281,35,M,W,102,SIDEWALK,102,HAND GUN,AA,Adult Arrest,210,998,,,2100    CASTILIAN                    DR,,34.1097,-118.3432
240108087,02/28/2024 12:00:00 AM,02/27/2024 12:00:00 AM,1310,01,Central,0154,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,500 S  MAIN                         ST,,34.0467,-118.2485
241605141,02/07/2024 12:00:00 AM,02/05/2024 12:00:00 AM,1100,16,Foothill,1619,1,310,BURGLARY,1606 0344,50,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,7200    HILLROSE                     ST,,34.2714,-118.2702
