"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"240808330","2024 May 12 12:00:00 AM","2024 May 12 12:00:00 AM","2120","08","West LA","0817","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"WESTWOOD                     BL","WEYBURN                      AV","34.0626","-118.4454"
"241309390","2024 May 15 12:00:00 AM","2024 May 09 12:00:00 AM","1735","13","Newton","1361","1","480","BIKE - STOLEN","0344","0","M","W","507","CONDOMINIUM/TOWNHOUSE",,,"IC","Invest Cont","480",,,,"300 W  49TH                         ST",,"33.9983","-118.2783"
"241211568","2024 May 12 12:00:00 AM","2024 May 10 12:00:00 AM","2000","12","77th Street","1245","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"6500 S  NORMANDIE                    AV",,"33.9806","-118.3003"
"240509077","2024 May 21 12:00:00 AM","2024 May 16 12:00:00 AM","1955","05","Harbor","0531","1","510","VEHICLE - STOLEN",,"0",,,"108","PARKING LOT",,,"IC","Invest Cont","510",,,,"1500    261ST                        ST",,"33.786","-118.3021"
"241810177","2024 May 11 12:00:00 AM","2024 May 10 12:00:00 AM","1621","18","Southeast","1823","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","1822 0325","22","M","H","408","AUTO SUPPLY STORE*",,,"IC","Invest Cont","442",,,,"10300    AVALON                       BL",,"33.9441","-118.2652"
"241608638","2024 May 31 12:00:00 AM","2024 May 31 12:00:00 AM","0150","16","Foothill","1685","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"11500    STAGG                        ST",,"34.2121","-118.3818"
"241909157","2024 May 27 12:00:00 AM","2024 May 26 12:00:00 AM","2030","19","Mission","1995","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"7800    VAN NUYS                     BL",,"34.2117","-118.4488"
"240909248","2024 May 20 12:00:00 AM","2024 May 13 12:00:00 AM","0800","09","Van Nuys","0985","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0344 1822","74","F","W","710","OTHER PREMISE",,,"IC","Invest Cont","331",,,,"4400    KATHERINE                    AV",,"34.1509","-118.4433"
"240209719","2024 May 11 12:00:00 AM","2024 May 10 12:00:00 AM","1900","02","Rampart","0216","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"400 N  LAKE                         ST",,"34.0707","-118.2693"
"241709129","2024 May 05 12:00:00 AM","2024 May 05 12:00:00 AM","0054","17","Devonshire","1749","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"15700    BLACKHAWK                    ST",,"34.2583","-118.4745"
"240509031","2024 May 17 12:00:00 AM","2024 May 17 12:00:00 AM","1756","05","Harbor","0518","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0325 1309","0","X","X","404","DEPARTMENT STORE",,,"IC","Invest Cont","442",,,,"200 E  PACIFIC COAST                HY",,"33.798","-118.2604"
"240111420","2024 May 13 12:00:00 AM","2024 May 13 12:00:00 AM","1600","01","Central","0119","2","888","TRESPASSING","0910","0","X","X","215","TRAIN DEPOT/TERMINAL, OTHER THAN MTA",,,"IC","Invest Cont","888",,,,"00    GATEWAY PLZ",,"34.0547","-118.2335"
"241211402","2024 May 06 12:00:00 AM","2024 May 05 12:00:00 AM","1029","12","77th Street","1249","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","1300 0344 0346 1822 1302","46","F","H","301","GAS STATION",,,"IC","Invest Cont","331",,,,"600 W  FLORENCE                     AV",,"33.979","-118.2839"
"240609527","2024 May 30 12:00:00 AM","2024 May 20 12:00:00 AM","1030","06","Hollywood","0627","2","354","THEFT OF IDENTITY","1822 0930 1501","36","F","O","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"2200 N  GOWER                        ST",,"34.1101","-118.3224"
"241809859","2024 May 07 12:00:00 AM","2024 May 06 12:00:00 AM","2100","18","Southeast","1871","1","510","VEHICLE - STOLEN",,"0",,,"108","PARKING LOT",,,"IC","Invest Cont","510",,,,"800 W  149TH                        ST",,"33.8964","-118.2892"
"240909398","2024 May 29 12:00:00 AM","2024 May 28 12:00:00 AM","1600","09","Van Nuys","0906","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"7300    LENNOX                       AV",,"34.203","-118.4458"
"241308962","2024 May 02 12:00:00 AM","2024 May 01 12:00:00 AM","1830","13","Newton","1371","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344","0","M","W","101","STREET",,,"IC","Invest Cont","341",,,,"W  SLAUSON                      AV","S  BROADWAY","33.9892","-118.2783"
"241009017","2024 May 23 12:00:00 AM","2024 May 21 12:00:00 AM","1845","10","West Valley","1015","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"101","STREET",,,"IC","Invest Cont","420",,,,"7200    ZELZAH                       AV",,"34.2013","-118.5229"
"242009186","2024 May 22 12:00:00 AM","2024 May 21 12:00:00 AM","1955","20","Olympic","2021","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0344 0385 1602 1822","28","M","W","101","STREET",,,"IC","Invest Cont","331",,,,"300    WESTMINSTER                  AV",,"34.069","-118.3162"
"241709155","2024 May 05 12:00:00 AM","2024 May 05 12:00:00 AM","1000","17","Devonshire","1797","2","664","BUNCO, PETTY THEFT","0800 1822 0344 0701 1900","22","F","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","664",,,,"16400    PARTHENIA                    ST",,"34.2284","-118.4895"
"240210124","2024 May 23 12:00:00 AM","2024 May 18 12:00:00 AM","1530","02","Rampart","0217","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","1822 0344 0394","25","F","O","145","MAIL BOX",,,"IC","Invest Cont","440",,,,"400 N  BONNIE BRAE                  ST",,"34.0695","-118.2655"
"240508852","2024 May 10 12:00:00 AM","2024 May 09 12:00:00 AM","0100","05","Harbor","0563","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"800 S  MEYLER                       ST",,"33.7321","-118.295"
